STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
Rajasthan,KARAULI,2001,1,3,0,0,0,0,0,138,0,0,4,0,142
Rajasthan,KOTA,2001,6,8,1,0,0,0,25,3,0,100,40,0,143
Rajasthan,NAGAUR,2001,2,3,0,0,0,4,1,9,0,218,6,4,237
Rajasthan,PALI,2001,1,7,1,0,0,2,6,223,0,0,15,2,240
Rajasthan,RAJSAMAND,2001,0,0,0,0,0,0,12,39,0,0,12,0,51
Rajasthan,SAWAI MADHOPUR,2001,0,1,2,0,1,0,1,98,0,0,4,1,103
Rajasthan,SIKAR,2001,2,2,0,0,0,0,0,6,0,104,4,0,114
Rajasthan,SIROHI,2001,2,3,0,0,0,0,7,48,0,0,12,0,60
Rajasthan,TONK,2001,2,4,0,0,0,1,0,168,0,0,6,1,175
Rajasthan,UDAIPUR,2001,1,2,0,0,0,0,2,42,0,0,5,0,47
Sikkim,EAST,2001,0,0,2,0,2,0,1,0,0,0,3,2,5
Sikkim,NORTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,WEST,2001,0,0,0,0,0,0,1,0,0,0,1,0,1
Tamil nadu,ARIYALUR,2001,0,0,0,0,0,0,0,15,0,0,0,0,15
Tamil nadu,CHENGAI,2001,0,0,0,0,0,0,0,0,10,0,0,0,10
Tamil nadu,CHENNAI,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
Tamil nadu,CHENNAI RLY.,2001,0,0,0,0,0,0,0,7,0,0,0,0,7
Tamil nadu,COIMBATORE RURAL,2001,1,1,0,0,0,0,0,50,0,9,2,0,61
Tamil nadu,COIMBATORE URBAN,2001,0,0,0,0,0,0,0,12,0,0,0,0,12
Tamil nadu,CUDDALORE,2001,0,0,0,1,0,0,0,25,0,0,0,1,26
Tamil nadu,DHARMAPURI,2001,0,0,0,0,0,0,0,24,0,0,0,0,24
Tamil nadu,DINDIGUL,2001,0,0,0,0,0,0,0,6,0,0,0,0,6
Tamil nadu,ERODE,2001,2,1,0,0,0,0,0,60,0,0,3,0,63
Tamil nadu,KANCHIPURAM,2001,0,0,0,0,0,0,0,13,0,62,0,0,75
Tamil nadu,KANYAKUMARI,2001,0,0,0,0,0,0,0,0,8,0,0,0,8
Tamil nadu,KARUR,2001,0,0,0,0,0,0,8,8,0,0,8,0,16
Tamil nadu,MADURAI RURAL,2001,2,2,0,0,0,3,0,64,0,10,4,3,81
Tamil nadu,MADURAI URBAN,2001,0,0,0,1,0,0,0,16,0,0,0,1,17
Tamil nadu,NAGAPATTINAM,2001,1,4,2,0,0,0,5,10,0,8,12,0,30
Tamil nadu,NAMAKKAL,2001,1,0,0,0,0,0,0,8,0,3,1,0,12
Tamil nadu,NILGIRIS,2001,0,0,0,0,0,0,0,2,0,0,0,0,2
Tamil nadu,PERAMBALUR,2001,0,0,0,0,0,0,0,18,0,0,0,0,18
Tamil nadu,PUDUKOTTAI,2001,0,0,0,0,0,0,0,37,0,0,0,0,37
Tamil nadu,RAMNATHAPURAM,2001,1,1,0,0,0,0,3,23,0,15,5,0,43
Tamil nadu,SALEM RURAL,2001,0,0,0,0,0,0,16,16,0,0,16,0,32
Tamil nadu,SALEM URBAN,2001,1,0,0,0,0,0,0,3,0,0,1,0,4
Tamil nadu,SIVAGANGAI,2001,1,1,0,1,1,0,0,73,0,0,2,2,77
Tamil nadu,THANJAVUR,2001,2,1,0,0,0,0,22,0,0,10,25,0,35
Tamil nadu,THENI,2001,0,0,0,0,0,0,3,9,0,8,3,0,20
Tamil nadu,THIRUNELVELI RURAL,2001,3,2,0,0,0,0,0,39,0,0,5,0,44
Tamil nadu,THIRUNELVELI URBAN,2001,2,0,0,0,0,0,0,2,0,0,2,0,4
Tamil nadu,THIRUVALLUR,2001,11,9,6,0,0,4,273,20,1,819,299,4,1143
Tamil nadu,THIRUVANNAMALAI,2001,0,0,0,1,0,3,10,24,0,11,10,4,49
Tamil nadu,THIRUVARUR,2001,0,3,8,0,0,7,52,24,0,110,63,7,204
Tamil nadu,THOOTHUGUDI,2001,1,0,0,1,0,0,0,20,0,20,1,1,42
Tamil nadu,TRICHY RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil nadu,TRICHY RURAL,2001,0,0,0,0,0,0,0,6,0,6,0,0,12
Tamil nadu,TRICHY URBAN,2001,4,2,0,0,0,0,5,0,3,0,11,0,14
Tamil nadu,VELLORE,2001,0,0,0,0,0,0,0,12,0,0,0,0,12
Tamil nadu,VILLUPURAM,2001,3,0,0,0,0,1,25,3,0,0,28,1,32
Tamil nadu,VIRUDHUNAGAR,2001,2,0,0,0,0,0,0,32,0,14,2,0,48
Tripura,DHALAI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,NORTH,2001,0,0,0,0,0,0,0,1,0,1,0,0,2
Tripura,SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar pradesh,AGRA,2001,11,15,8,2,2,2,18,215,0,103,52,6,376
Uttar pradesh,ALIGARH,2001,8,12,9,2,0,3,8,1,0,131,37,5,174
Uttar pradesh,ALLAHABAD,2001,6,9,6,0,4,7,36,268,0,109,57,11,445
Uttar pradesh,AMBEDKAR NAGAR,2001,2,2,2,0,0,0,6,82,0,7,12,0,101
Uttar pradesh,AURAIYA,2001,1,2,2,0,0,1,17,1,0,57,22,1,81
Uttar pradesh,AZAMGARH,2001,8,1,2,1,4,2,9,5,0,87,20,7,119
Uttar pradesh,BADAUN,2001,9,7,2,0,3,5,7,126,0,1,25,8,160
Uttar pradesh,BAGHPAT,2001,1,1,0,0,1,0,1,22,0,3,3,1,29
Uttar pradesh,BAHRAICH,2001,1,1,0,0,0,1,0,56,0,0,2,1,59
Uttar pradesh,BALLIA,2001,4,1,0,0,0,2,9,35,2,24,14,2,77
Uttar pradesh,BALRAMPUR,2001,3,3,0,0,0,4,2,28,0,21,8,4,61
Uttar pradesh,BANDA,2001,6,9,2,0,1,4,7,106,0,31,24,5,166
Uttar pradesh,BARABANKI,2001,4,9,2,0,2,10,13,194,0,175,28,12,409
Uttar pradesh,BAREILLY,2001,13,16,0,2,4,3,16,207,0,12,45,9,273
Uttar pradesh,BASTI,2001,3,8,0,0,0,2,1,158,0,0,12,2,172
Uttar pradesh,BIJNOR,2001,8,5,5,0,0,2,13,13,0,57,31,2,103
Uttar pradesh,BULANDSHAHAR,2001,14,4,5,0,2,1,7,132,0,95,30,3,260
Uttar pradesh,CHANDOLI,2001,1,1,0,0,0,0,1,48,9,0,3,0,60
Uttar pradesh,CHITRAKOOT DHAM,2001,4,1,0,0,0,0,0,39,0,0,5,0,44
Uttar pradesh,DEORIA,2001,2,0,3,0,0,4,25,58,0,16,30,4,108
Uttar pradesh,ETAH,2001,14,8,5,1,2,5,24,0,0,116,51,8,175
Uttar pradesh,ETAWAH,2001,5,3,11,0,4,1,18,6,0,70,37,5,118
Uttar pradesh,FAIZABAD,2001,8,6,0,0,0,5,11,52,0,73,25,5,155
Uttar pradesh,FATEHGARH,2001,7,2,5,0,0,0,4,54,0,51,18,0,123
Uttar pradesh,FATEHPUR,2001,11,5,3,0,1,0,17,192,0,41,36,1,270
Uttar pradesh,FIROZABAD,2001,6,2,6,1,2,3,13,30,1,45,27,6,109
Uttar pradesh,G.R.P.,2001,1,0,0,0,1,0,0,5,0,3,1,1,10
Uttar pradesh,GAUTAMBUDH NAGAR,2001,3,1,0,0,0,1,2,0,0,43,6,1,50
Uttar pradesh,GHAZIABAD,2001,13,6,10,0,2,1,7,0,0,50,36,3,89
Uttar pradesh,GHAZIPUR,2001,1,1,2,0,0,1,3,26,0,90,7,1,124
Uttar pradesh,GONDA,2001,7,6,0,0,1,9,23,158,0,77,36,10,281
Uttar pradesh,GORAKHPUR,2001,5,2,4,0,1,2,1,146,0,0,12,3,161
Uttar pradesh,HAMIRPUR,2001,5,6,2,0,0,3,11,53,0,41,24,3,121
Uttar pradesh,HARDOI,2001,11,14,5,0,2,6,37,119,0,96,67,8,290
Uttar pradesh,HATHRAS,2001,3,2,2,2,2,3,8,7,0,69,15,7,98
Uttar pradesh,J.P.NAGAR,2001,10,3,3,1,0,1,2,0,0,61,18,2,81
Uttar pradesh,JALAUN,2001,6,1,2,1,3,2,6,6,0,124,15,6,151
Uttar pradesh,JAUNPUR,2001,3,1,0,0,0,2,10,77,0,30,14,2,123
Uttar pradesh,JHANSI,2001,9,5,3,1,0,3,7,82,0,29,24,4,139
Uttar pradesh,KANNAUJ,2001,6,1,2,1,2,3,6,6,0,65,15,6,92
Uttar pradesh,KANPUR DEHAT,2001,2,3,5,0,2,3,7,8,0,81,17,5,111
Uttar pradesh,KANPUR NAGAR,2001,12,11,9,0,5,3,61,120,0,78,93,8,299
Uttar pradesh,KAUSHAMBI,2001,6,5,3,0,0,4,22,0,0,102,36,4,142
Uttar pradesh,KHIRI,2001,16,21,0,0,2,6,62,165,0,49,99,8,321
Uttar pradesh,KUSHI NAGAR,2001,2,3,1,0,0,0,0,68,0,62,6,0,136
Uttar pradesh,LALITPUR,2001,0,4,0,0,0,0,5,22,0,19,9,0,50
Uttar pradesh,LUCKNOW,2001,11,19,16,1,2,8,24,221,0,128,70,11,430
Uttar pradesh,MAHARAJGANJ,2001,0,3,0,0,0,0,0,40,0,1,3,0,44
Uttar pradesh,MAHOBA,2001,5,3,1,0,1,1,5,79,0,10,14,2,105
Uttar pradesh,MAINPURI,2001,6,4,6,0,3,5,10,90,0,60,26,8,184
Uttar pradesh,MATHURA,2001,8,6,2,0,1,2,11,0,0,49,27,3,79
Uttar pradesh,MAU,2001,0,2,3,0,0,3,10,17,0,70,15,3,105
Uttar pradesh,MEERUT,2001,9,4,6,0,0,1,9,106,0,77,28,1,212
Uttar pradesh,MIRZAPUR,2001,2,3,1,0,0,1,1,29,0,6,7,1,43
Uttar pradesh,MORADABAD,2001,4,7,1,0,1,3,11,13,0,39,23,4,79
Uttar pradesh,MUZAFFARNAGAR,2001,13,11,6,0,1,0,18,7,0,24,48,1,80
Uttar pradesh,PILIBHIT,2001,12,11,2,0,3,5,36,101,0,45,61,8,215
Uttar pradesh,PRATAPGARH,2001,6,3,3,0,0,2,4,64,0,68,16,2,150
Uttar pradesh,RAIBAREILLY,2001,4,19,7,0,1,3,9,183,0,54,39,4,280
Uttar pradesh,RAMPUR,2001,6,5,2,0,0,0,0,49,0,3,13,0,65
Uttar pradesh,SAHARANPUR,2001,4,5,1,0,0,1,15,4,0,28,25,1,58
Uttar pradesh,SANT KABIRNAGAR,2001,2,5,0,0,0,0,0,44,0,0,7,0,51
Uttar pradesh,SHAHJAHANPUR,2001,11,16,9,0,0,3,26,36,0,81,62,3,182
Uttar pradesh,SHRAWASTI,2001,2,2,1,0,0,0,3,57,0,0,8,0,65
Uttar pradesh,SIDHARTHNAGAR,2001,1,3,3,0,0,1,6,72,0,0,13,1,86
Uttar pradesh,SITAPUR,2001,15,28,6,0,7,10,10,54,0,265,59,17,395
Uttar pradesh,SONBHADRA,2001,2,2,0,0,0,0,3,16,0,0,7,0,23
Uttar pradesh,ST.RAVIDASNAGAR,2001,1,0,0,0,0,2,7,39,0,22,8,2,71
Uttar pradesh,SULTANPUR,2001,2,3,0,0,1,3,4,114,0,38,9,4,165
Uttar pradesh,UNNAO,2001,14,18,12,0,7,2,34,188,0,112,78,9,387
Uttar pradesh,VARANASI,2001,2,1,0,0,0,2,2,66,0,9,5,2,82
Uttarakhand,ALMORA,2001,0,0,0,0,0,0,0,7,0,3,0,0,10
Uttarakhand,BAGESHWAR,2001,0,0,0,0,0,0,0,7,0,3,0,0,10
Uttarakhand,CHAMOLI,2001,0,0,0,0,0,0,1,7,0,3,1,0,11
Uttarakhand,CHAMPAWAT,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,DEHRADUN,2001,0,0,0,0,0,0,0,6,0,2,0,0,8
Uttarakhand,HARIDWAR,2001,7,1,3,0,0,1,3,3,0,3,14,1,21
Uttarakhand,NAINITAL,2001,0,0,0,0,0,0,0,12,0,7,0,0,19
Uttarakhand,PAURI GARHWAL,2001,1,0,0,0,0,0,3,4,0,2,4,0,10
Uttarakhand,PITHORAGARH,2001,1,0,0,0,0,0,0,1,0,0,1,0,2
Uttarakhand,RUDRA PRAYAG,2001,0,0,0,0,0,0,0,3,0,1,0,0,4
Uttarakhand,TEHRI GARHWAL,2001,0,0,0,0,0,0,13,13,0,8,13,0,34
Uttarakhand,UDHAMSINGH NAGAR,2001,1,1,0,0,0,0,3,11,0,7,5,0,23
Uttarakhand,UTTARKASHI,2001,0,0,0,0,0,0,0,10,0,6,0,0,16
West bengal,24 PARGANAS NORTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,24 PARGANAS SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,ASANSOL,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,BANKURA,2001,0,1,0,0,0,0,0,2,0,1,1,0,4
West bengal,BIRBHUM,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,BURDWAN,2001,0,1,0,0,0,0,1,2,0,0,2,0,4
West bengal,COOCHBEHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,DAKSHIN DINAJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,DARJEELING,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,HOOGHLY,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,HOWRAH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,HOWRAH CITY,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,HOWRAH G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,JALPAIGURI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,KOLKATA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,MALDA,2001,0,1,0,0,0,0,0,1,0,0,1,0,2
West bengal,MIDNAPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,MURSHIDABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,NADIA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,PURULIA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,SEALDAH G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,SILIGURI G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
West bengal,UTTAR DINAJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
A & n islands,ANDAMAN,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
A & n islands,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,CHANDIGARH,2001,0,1,0,0,0,0,0,2,0,0,1,0,3
D & n haveli,D and N HAVELI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & diu,DAMAN,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & diu,DIU,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,CENTRAL,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
Delhi,EAST,2001,0,0,0,0,0,0,0,3,0,0,0,0,3
Delhi,G.R.P.(RLY),2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,I.G.I.AIRPORT,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,NEW DELHI,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
Delhi,NORTH,2001,0,0,0,0,0,0,0,2,0,0,0,0,2
Delhi,NORTH EAST,2001,0,0,0,0,0,0,0,0,2,0,0,0,2
Delhi,NORTH WEST,2001,0,0,0,0,0,0,0,2,0,0,0,0,2
Delhi,S.T.F.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,SOUTH,2001,0,0,0,0,0,0,0,4,0,0,0,0,4
Delhi,SOUTH WEST,2001,0,0,0,0,0,0,0,4,0,0,0,0,4
Delhi,WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,PONDICHERRY,2001,0,0,0,0,0,0,0,0,13,0,0,0,13
Andhra pradesh,ADILABAD,2002,0,2,0,0,0,0,2,0,16,18,4,0,38
Andhra pradesh,ANANTAPUR,2002,0,3,0,0,0,1,32,25,0,51,35,1,112
Andhra pradesh,CHITTOOR,2002,1,5,0,0,0,0,22,27,1,40,28,0,96
Andhra pradesh,CUDDAPAH,2002,0,3,1,0,0,0,20,14,2,47,24,0,87
Andhra pradesh,EAST GODAVARI,2002,2,4,0,0,0,0,26,16,52,0,32,0,100
Andhra pradesh,GUNTAKAL RLY.,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra pradesh,GUNTUR,2002,1,4,0,0,0,0,31,4,2,38,36,0,80
Andhra pradesh,HYDERABAD CITY,2002,0,1,0,0,0,0,0,36,5,35,1,0,77
Andhra pradesh,KARIMNAGAR,2002,12,9,5,0,0,0,111,80,11,292,137,0,520
Andhra pradesh,KHAMMAM,2002,2,3,0,0,0,0,6,25,5,51,11,0,92
Andhra pradesh,KRISHNA,2002,7,5,1,0,0,1,25,22,153,136,38,1,350
Andhra pradesh,KURNOOL,2002,1,7,0,0,0,0,15,90,24,18,23,0,155
Andhra pradesh,MAHABOOBNAGAR,2002,8,12,0,0,0,2,0,64,23,82,20,2,191
Andhra pradesh,MEDAK,2002,0,5,1,0,0,0,4,70,1,65,10,0,146
Andhra pradesh,NALGONDA,2002,0,2,0,0,0,0,1,36,3,5,3,0,47
Andhra pradesh,NELLORE,2002,0,4,2,0,0,0,21,124,0,57,27,0,208
Andhra pradesh,NIZAMABAD,2002,0,5,0,0,0,0,6,13,0,38,11,0,62
Andhra pradesh,PRAKASHAM,2002,3,0,0,0,0,0,47,19,4,30,50,0,103
Andhra pradesh,RANGA REDDY,2002,19,8,4,0,2,7,96,38,17,50,127,9,241
Andhra pradesh,SECUNDERABAD RLY.,2002,0,0,0,0,0,0,0,2,0,0,0,0,2
Andhra pradesh,SRIKAKULAM,2002,1,3,0,0,0,0,10,14,12,37,14,0,77
Andhra pradesh,VIJAYAWADA,2002,2,4,1,0,1,0,51,7,24,23,58,1,113
Andhra pradesh,VIJAYAWADA RLY.,2002,0,0,0,0,0,0,0,0,4,1,0,0,5
Andhra pradesh,VISAKHA RURAL,2002,0,0,0,0,0,0,10,7,31,42,10,0,90
Andhra pradesh,VISAKHAPATNAM,2002,0,0,0,0,0,0,0,5,4,7,0,0,16
Andhra pradesh,VIZIANAGARAM,2002,0,1,0,0,0,1,0,13,38,55,1,1,108
Andhra pradesh,WARANGAL,2002,0,2,0,0,0,0,3,30,17,60,5,0,112
Andhra pradesh,WEST GODAVARI,2002,1,6,3,0,1,0,29,49,10,58,39,1,157
Arunachal pradesh,CHANGLANG,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,DIBANG VALLEY,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,KAMENG EAST,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,KAMENG WEST,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,LOHIT,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,PAPUM PARE,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SIANG EAST,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SIANG UPPER,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SIANG WEST,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SUBANSIRI LOWER,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SUBANSIRI UPPER,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,TAWANG,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,TIRAP,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BARPETA,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BONGAIGAON,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,C.I.D.,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,CACHAR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DARRANG,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHEMAJI,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHUBRI,2002,0,0,0,0,0,0,1,0,0,2,1,0,3
Assam,DIBRUGARH,2002,0,0,0,0,1,1,4,0,0,0,4,2,6
Assam,G.R.P.,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GOALPARA,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GOLAGHAT,2002,3,0,4,0,1,1,9,0,0,14,16,2,32
Assam,GUWAHATI CITY,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,HAILAKANDI,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,JORHAT,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KAMRUP,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KARBI ANGLONG,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KARIMGANJ,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KOKRAJHAR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,LAKHIMPUR,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,MORIGAON,2002,0,0,0,0,0,0,0,0,0,6,0,0,6
Assam,N.C.HILLS,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
